"Integration ID","Integration Name","Integration Type","Category","Stage Name","Stage ID","Route From","Route To","Route Order","Condition","Run Type","Repeat Against","Process Name","Process ID"
"6491a9d90763e","Garden Waste Enquiry - search permit","HTTP","","Report","AF-Stage-061b0b04-ccc4-453b-aede-46de1311e6d4","","","","","lookup","","Garden Waste Permit Issue - report","AF-Process-592791ea-912d-4520-b0f1-90da1d35d7a2"
"64957d64ebb53","Garden Waste Enquiry - acknowledgement needs review","EMAIL","","Report","AF-Stage-061b0b04-ccc4-453b-aede-46de1311e6d4","","","","{textReviewReplacement} = 'yes'","submission","","Garden Waste Permit Issue - report","AF-Process-592791ea-912d-4520-b0f1-90da1d35d7a2"
"6495826423069","Garden Waste Enquiry - acknowledgement no review","EMAIL","","Report","AF-Stage-061b0b04-ccc4-453b-aede-46de1311e6d4","","","","{textReviewReplacement} = 'no'","submission","","Garden Waste Permit Issue - report","AF-Process-592791ea-912d-4520-b0f1-90da1d35d7a2"
"6495a77de09f1","Garden Waste Enquiry - replace permit","HTTP","","Report","AF-Stage-061b0b04-ccc4-453b-aede-46de1311e6d4","","","","{textReviewReplacement} = 'no'","submission","","Garden Waste Permit Issue - report","AF-Process-592791ea-912d-4520-b0f1-90da1d35d7a2"
"","","","","","","Report","Under Review","1","{textReviewReplacement} contains 'yes'","","","Garden Waste Permit Issue - report","AF-Process-592791ea-912d-4520-b0f1-90da1d35d7a2"
"5c361600a8955","List users in textGroupID","PERMISSION","General","Under Review","AF-Stage-e238acdf-ad10-437c-93d8-ec0a457cf77f","","","","","lookup","","Garden Waste Permit Issue - report","AF-Process-592791ea-912d-4520-b0f1-90da1d35d7a2"
"6495839be6919","Garden Waste Enquiry - Approved","EMAIL","","Under Review","AF-Stage-e238acdf-ad10-437c-93d8-ec0a457cf77f","","","","{selectClosureOutcome} icontains 'Completed - Approved'","submission","","Garden Waste Permit Issue - report","AF-Process-592791ea-912d-4520-b0f1-90da1d35d7a2"
"649583539c5e3","Garden Waste Enquiry - Declined","EMAIL","","Under Review","AF-Stage-e238acdf-ad10-437c-93d8-ec0a457cf77f","","","","{selectClosureOutcome} icontains 'Completed - Declined'","submission","","Garden Waste Permit Issue - report","AF-Process-592791ea-912d-4520-b0f1-90da1d35d7a2"
"649bec37c488b","Garden Waste Enquiry - insert new permit","HTTP","","Under Review","AF-Stage-e238acdf-ad10-437c-93d8-ec0a457cf77f","","","","{selectPermitOutcome} icontains 'Issue a new permit'","submission","","Garden Waste Permit Issue - report","AF-Process-592791ea-912d-4520-b0f1-90da1d35d7a2"
"6495a77de09f1","Garden Waste Enquiry - replace permit","HTTP","","Under Review","AF-Stage-e238acdf-ad10-437c-93d8-ec0a457cf77f","","","","{selectPermitOutcome} icontains 'Reissue existing permit'","submission","","Garden Waste Permit Issue - report","AF-Process-592791ea-912d-4520-b0f1-90da1d35d7a2"
"","","","","","","Under Review","Under Review","1","{selectOpenStatus} icontains 'Under review'","","","Garden Waste Permit Issue - report","AF-Process-592791ea-912d-4520-b0f1-90da1d35d7a2"
"","","","","","","Under Review","Additional Information","2","{selectOpenStatus} icontains 'Request additional information'","","","Garden Waste Permit Issue - report","AF-Process-592791ea-912d-4520-b0f1-90da1d35d7a2"
"6495844497a01","Garden Waste Enquiry - additional info","EMAIL","","Additional Information","AF-Stage-dc715055-8430-4963-833d-858187a4f526","","","","","creation","","Garden Waste Permit Issue - report","AF-Process-592791ea-912d-4520-b0f1-90da1d35d7a2"
"6495956ec190f","Garden Waste Enquiry - additional info reminder","EMAIL","","Additional Information","AF-Stage-dc715055-8430-4963-833d-858187a4f526","","","","","escalation","","Garden Waste Permit Issue - report","AF-Process-592791ea-912d-4520-b0f1-90da1d35d7a2"
"64957c39db461","Garden Waste Enquiry - escalation","ESCALATION","","Additional Information","AF-Stage-dc715055-8430-4963-833d-858187a4f526","","","","","escalation","","Garden Waste Permit Issue - report","AF-Process-592791ea-912d-4520-b0f1-90da1d35d7a2"
"","","","","","","Additional Information","Under Review","1","","","","Garden Waste Permit Issue - report","AF-Process-592791ea-912d-4520-b0f1-90da1d35d7a2"
